id, user_id,loo_id,issue_type,comment,picture_url,state,source,gender,resolved_at,created_at,updated_at
127,N3072,63,dirty,,,resolved,hardware,male,1458291039271,1457519737001,1455336876733
128,O769,39,broken,,,pending,hardware,male,,1454429670324,1455332865369
129,K132,29,no water,,,resolved,hardware,female,1460581906983,1460287107878,1456041746586
130,B7370,35,broken,,,pending,hardware,female,,1452704391616,1458896606773
131,C4557,19,broken,,,resolved,app,male,1456882917881,1456564160780,1459851598898
132,A7785,5,dirty,,,resolved,app,female,1457315075329,1456467730673,1453408157234
133,A9626,49,dirty,,,resolved,app,female,1460247524181,1459625459749,1455756244239
134,U7667,42,broken,,,resolved,app,female,1460158018532,1459392931837,1454780178858
135,C4256,30,no soap,,,resolved,app,female,1458609348761,1452953025090,1460107804770
136,M8926,2,no soap,,,resolved,hardware,female,1457949088077,1457464731035,1454555826107
137,K1008,43,dirty,,,resolved,hardware,male,1460126984949,1454964571844,1460034618441
138,N4708,53,broken,,,resolved,app,male,1456489389572,1455734864576,1455579179975
139,S6786,78,no water,,,resolved,hardware,male,1459466262873,1456910291356,1457074160912
140,B808,79,broken,,,resolved,hardware,female,1457306387165,1456469010109,1456136829371
141,T4688,73,dirty,,,pending,app,female,,1455829596410,1457156079419
142,Z254,80,no water,,,pending,app,female,,1458040156771,1456353612180
143,R4225,11,no water,,,pending,app,male,,1456963587618,1457360054333
144,F896,9,dirty,,,resolved,hardware,male,1458558829533,1458382688119,1454677560094
145,G7895,3,broken,,,resolved,app,male,1459293379589,1458885902104,1454370184474
146,A8698,64,broken,,,pending,app,male,,1458613172260,1457348480239
147,J364,24,no soap,,,resolved,hardware,male,1459273591449,1453681298983,1452811858295
148,P2414,32,no water,,,pending,hardware,female,,1458603519535,1455201284593
149,I8305,28,broken,,,pending,hardware,female,,1458037119347,1458580572863
150,O2087,20,no soap,,,pending,app,female,,1452683226119,1453026563888
151,J4367,9,no water,,,resolved,app,female,1459118975596,1454067413007,1456412811874
152,I550,70,dirty,,,pending,hardware,male,,1457839206937,1455369447324
153,Y4277,51,dirty,,,resolved,app,female,1458392947663,1457152908114,1457371285340
154,V514,42,dirty,,,pending,app,female,,1454538660075,1454114823679
155,I7023,40,dirty,,,resolved,app,female,1459259787710,1459024099935,1459459076742
156,Y8815,8,no water,,,pending,app,male,,1460265671913,1455138149727
157,P5394,86,dirty,,,pending,app,female,,1457777589018,1454010141282
158,D934,71,no water,,,resolved,hardware,female,1459807613054,1459331394283,1459416956532
159,U1030,88,no water,,,pending,app,female,,1457515228933,1458400770651
160,V197,92,broken,,,resolved,app,female,1457786402978,1454885407959,1457196676366
161,R3209,79,dirty,,,pending,app,female,,1454642537399,1452904427185
162,Q1845,0,no water,,,resolved,hardware,male,1458183421895,1457523201014,1455605031537
163,O2162,93,no water,,,resolved,hardware,male,1459250746657,1454687923688,1453283410322
164,J8112,4,no soap,,,resolved,hardware,female,1453059301533,1452686166739,1455411810832
165,O5452,97,no water,,,pending,app,female,,1457498510157,1457997881089
166,L5189,35,broken,,,resolved,hardware,female,1458329801250,1452874314417,1457288936508
167,V603,22,no soap,,,resolved,app,female,1456409230654,1454042186419,1455970778277
168,J1172,67,no water,,,pending,app,female,,1456206690568,1453199877780
169,I9574,15,dirty,,,resolved,hardware,female,1457811403442,1457005458207,1456080363408
170,J7838,78,no soap,,,pending,app,male,,1456069408651,1457895803999
171,T2707,52,no soap,,,resolved,hardware,male,1455753952331,1454566781405,1454762218913
172,N2939,86,no soap,,,resolved,hardware,male,1460089308895,1454862886294,1458040164629
173,R3980,59,dirty,,,pending,hardware,male,,1454869652671,1455149844749
174,K6947,46,dirty,,,pending,app,female,,1459604861985,1454704635331
175,R1219,37,broken,,,resolved,hardware,female,1457389583218,1455752446204,1455136685105
176,W4064,9,broken,,,resolved,app,male,1458915985924,1454812304779,1459342448144
177,N53,0,dirty,,,resolved,hardware,female,1459585680060,1459018899574,1454562828483
178,Z1375,39,no water,,,resolved,app,male,1458628896006,1458488846548,1453906029578
179,V2674,44,no water,,,resolved,hardware,male,1458775076222,1458105505355,1455003207918
180,B6125,62,broken,,,pending,app,female,,1459788938275,1456193958404
181,S3765,57,dirty,,,pending,hardware,male,,1457297938678,1459700666889
182,U7474,82,no water,,,resolved,app,female,1459777005746,1459592539304,1456180351021
183,M2184,13,dirty,,,pending,app,male,,1455522896760,1456645930982
184,E8120,37,no water,,,resolved,app,female,1459310022519,1457704657472,1452990455722
185,K7407,87,no water,,,pending,app,male,,1453232898110,1454446787817
186,K6973,19,dirty,,,pending,app,female,,1456675584863,1455850344278
187,Q3683,19,dirty,,,resolved,hardware,female,1458724201259,1458605494195,1458321368682
188,C9834,57,dirty,,,resolved,hardware,male,1458584248550,1458342351403,1458212597365
189,V1099,21,no water,,,resolved,app,female,1453288840845,1453082010060,1459868605967
190,Y1243,25,broken,,,resolved,app,male,1457042697077,1456391392725,1456884742142
191,N4953,32,dirty,,,pending,app,female,,1456577504499,1458781679644
192,E2432,5,broken,,,pending,app,male,,1454881166220,1454487764299
193,P3109,82,no water,,,resolved,hardware,male,1455894380926,1453643017737,1452999082995
194,J6017,79,no soap,,,pending,app,male,,1454106837149,1457146370378
195,C863,13,dirty,,,resolved,hardware,male,1459501157664,1459142765706,1458222280503
196,X1109,51,no soap,,,pending,hardware,female,,1455861023654,1455940042117
197,B1416,6,dirty,,,resolved,hardware,male,1459281681856,1458418242289,1459733736777
198,S7895,96,no water,,,resolved,app,female,1459554512995,1459528359132,1457617526946
199,N2440,55,no water,,,pending,app,male,,1458937669355,1458668616736
200,S7376,82,no soap,,,resolved,app,female,1458528830746,1454684710359,1456636267044
201,Z8746,68,no water,,,resolved,hardware,male,1458855908130,1458014942721,1459908025513
202,I2247,82,dirty,,,pending,hardware,female,,1460260556645,1459799945618
203,W481,62,dirty,,,resolved,hardware,female,1455174104877,1454391939770,1457194805293
204,P7514,74,dirty,,,resolved,hardware,female,1454880307892,1454695094351,1455877664597
205,B3705,96,no water,,,pending,app,female,,1457863990118,1453550734714
206,U7861,82,no water,,,pending,app,female,,1455998820886,1457565488101
207,G2652,73,broken,,,resolved,hardware,female,1456588010190,1455856295700,1454740250549
208,P7380,33,no water,,,pending,app,female,,1454787979535,1457399150118
209,U3446,68,no water,,,pending,app,female,,1456860825186,1454583834147
210,G1792,99,broken,,,pending,hardware,male,,1454577531761,1456417274879
211,X1899,21,no water,,,pending,app,female,,1459140959520,1454881087320
212,C5335,35,broken,,,resolved,app,male,1454269518417,1454051665700,1456916328585
213,S4336,72,no water,,,pending,hardware,female,,1456682934017,1458170940277
214,M3593,21,no soap,,,resolved,app,male,1457831150144,1454912667773,1456925725050
215,X31,37,broken,,,resolved,app,female,1458730682006,1458231243990,1459141795983
216,W555,18,broken,,,pending,hardware,male,,1458696858660,1456628547978
217,R707,99,broken,,,pending,app,female,,1456873859325,1460235979090
218,Y4082,80,no soap,,,pending,hardware,male,,1454375013597,1457236557828
219,Q9377,42,dirty,,,pending,hardware,male,,1459789633806,1460067488117
220,L9565,6,no water,,,pending,hardware,female,,1458674201065,1458231352780
221,D7970,31,no water,,,resolved,hardware,female,1458137509795,1455930886125,1458611381410
222,N7834,57,dirty,,,pending,hardware,male,,1453262069041,1457374836342
223,F6207,35,no soap,,,resolved,hardware,male,1458768832540,1458487150283,1456251493335
224,G6266,47,broken,,,pending,hardware,male,,1457830383756,1455575095368
225,A178,84,no water,,,pending,hardware,male,,1458732805301,1456307995255
226,C6230,87,broken,,,resolved,app,female,1453963722535,1453578538925,1458797322296
227,U75,15,dirty,,,pending,hardware,male,,1453386507208,1455582830458
228,Z5217,53,dirty,,,pending,hardware,male,,1457231622308,1459892770633
229,I1272,52,broken,,,pending,hardware,female,,1453806358569,1458254555262
230,K273,50,dirty,,,resolved,app,male,1459652956453,1453019588344,1459189521620
231,S5072,18,no soap,,,resolved,app,female,1460021471316,1453615382595,1453339730860
232,W809,95,no soap,,,resolved,app,male,1454156939896,1453439321535,1456042194338
233,C5444,10,dirty,,,resolved,app,male,1455924382833,1455651032835,1452933325481
234,F5975,89,no soap,,,resolved,hardware,male,1457582555568,1457321773894,1453343721945
235,I5749,76,dirty,,,resolved,hardware,female,1459902816294,1454590416905,1458881797134
236,I4431,3,dirty,,,resolved,app,female,1459776141264,1459158551840,1453559925809
237,P8175,40,no water,,,resolved,hardware,male,1456607171935,1456047985415,1455509832218
238,C5086,57,no soap,,,pending,app,male,,1454151859639,1457475535602
239,Y7878,92,dirty,,,pending,hardware,female,,1460274128578,1454766511263
240,I8707,49,no soap,,,resolved,hardware,male,1459426837938,1458772651194,1454185056153
241,I5075,22,no soap,,,pending,app,male,,1454509585780,1453567375698
242,J3191,18,dirty,,,resolved,hardware,female,1457659167663,1457644794354,1452802933829
243,X8320,65,no soap,,,pending,app,female,,1458397764478,1460246094091
244,F2131,3,no water,,,pending,hardware,male,,1457380144748,1453684647482
245,Y2234,20,broken,,,resolved,app,male,1455692338606,1453015883437,1452792273305
246,L6405,96,no water,,,pending,app,female,,1455551343101,1452864738064
247,C349,15,dirty,,,resolved,hardware,male,1460328948025,1460130115455,1453327430452
248,X424,49,no water,,,resolved,app,male,1458844129088,1455906419582,1459893338739
249,H5833,11,broken,,,resolved,hardware,male,1458522193555,1455151773479,1457594185136
250,Q2091,56,dirty,,,resolved,hardware,female,1454638718785,1453124798558,1458478151809
251,B4224,97,no soap,,,pending,hardware,female,,1455611997255,1459489355009
252,A7936,9,no water,,,pending,hardware,male,,1459128108123,1452610503964
253,G5165,0,dirty,,,pending,hardware,male,,1455506228629,1456353967541
254,V5115,57,no water,,,resolved,app,male,1460076399624,1456572015735,1453218646741
255,B3202,36,no water,,,pending,hardware,female,,1459187813605,1458777672038
256,C4172,56,broken,,,resolved,hardware,male,1460685104398,1460352751759,1457465732158
257,D5302,0,broken,,,resolved,hardware,male,1458368822659,1455612419666,1457098133590
258,J2620,85,no soap,,,pending,app,male,,1454243493149,1454284374196
259,O4334,79,broken,,,resolved,hardware,male,1460105833290,1455189886587,1458025574579
260,T1708,5,no soap,,,resolved,app,male,1456024787442,1455464045316,1457977614868
261,V7394,92,no soap,,,pending,hardware,male,,1452782462990,1456031962425
262,M2523,57,broken,,,pending,hardware,male,,1459075724666,1456439491276
263,V3609,25,no water,,,pending,app,male,,1458923836435,1457679844385
264,O9495,94,dirty,,,pending,app,female,,1459621889656,1454202208326
265,C1596,51,no soap,,,pending,app,female,,1459534614972,1459461602474
266,L9782,68,broken,,,pending,app,male,,1457318684709,1452807716779
267,V7573,70,dirty,,,pending,app,male,,1457100261795,1454878543002
268,D880,90,no soap,,,pending,app,male,,1452819889729,1454135597923
269,K1398,0,dirty,,,pending,hardware,male,,1455794179514,1453427859590
270,P5349,75,dirty,,,resolved,hardware,male,1460371465856,1459908918399,1456154768865
271,J8824,98,broken,,,pending,app,female,,1457107530334,1455232145608
272,R662,38,broken,,,resolved,app,female,1459090887566,1458724601668,1459649348255
273,G2484,46,no water,,,pending,app,male,,1455586473538,1457131051622
274,C9835,81,dirty,,,pending,hardware,female,,1459521823311,1459305478229
275,R6264,27,no water,,,pending,hardware,male,,1457288396348,1459298266720
276,C9738,42,dirty,,,pending,app,female,,1456595070258,1458065995725
277,M1067,70,dirty,,,resolved,hardware,female,1456574337637,1456013895440,1456147868432
278,Y9276,64,no water,,,resolved,app,female,1457467347249,1457332311968,1454767034598
279,Y5385,9,no water,,,resolved,hardware,female,1460454333911,1459969354443,1460023485102
280,J5670,6,no water,,,resolved,hardware,female,1457295390760,1457141622788,1457508860831
281,L7753,92,broken,,,pending,app,female,,1456553779285,1456515534618
282,T575,24,broken,,,resolved,app,male,1459802135947,1457517638874,1456680734022
283,R7928,51,broken,,,pending,hardware,female,,1458122853176,1459787132516
284,R4940,45,no water,,,resolved,hardware,female,1459303757243,1453602500025,1457540454941
285,L6005,64,dirty,,,resolved,hardware,female,1459392820771,1456604915419,1453327224031
286,O2134,75,dirty,,,pending,hardware,female,,1458345063198,1457032290835
287,N4778,68,broken,,,pending,app,male,,1455282537368,1456950278303
288,U3374,17,no water,,,pending,app,male,,1459411696718,1458955625315
289,C2682,51,no soap,,,resolved,hardware,female,1458694757410,1454580673912,1458123435943
290,R811,21,no soap,,,resolved,app,male,1457008525917,1456187893990,1459911628854
291,W6064,28,dirty,,,pending,hardware,female,,1458688566139,1456972784954
292,U1917,97,no soap,,,pending,app,female,,1457364633597,1454819898526
293,N159,37,broken,,,resolved,hardware,male,1459403978978,1458938098615,1454420745233
294,N3949,72,no soap,,,pending,hardware,male,,1456528953565,1454459187327
295,U4669,52,dirty,,,resolved,app,female,1459699484869,1458632076211,1460074439255
296,P7908,11,dirty,,,resolved,hardware,male,1457668820367,1456452227514,1453391144264
297,R5210,41,no soap,,,pending,app,male,,1454335182276,1454179131843
298,O8220,7,broken,,,pending,hardware,male,,1454556514043,1459187880321
299,S4604,36,no soap,,,resolved,app,male,1458874346729,1454764059488,1454378635562
300,Z4117,73,broken,,,resolved,hardware,female,1459659923308,1459088042474,1453762933921
301,N1542,39,dirty,,,resolved,hardware,male,1460403015495,1460163213720,1454183939668
302,J2786,71,broken,,,resolved,hardware,female,1457316454387,1453238200292,1453609604010
303,F2314,19,broken,,,pending,app,female,,1453907882047,1454806431239
304,W2308,50,no water,,,resolved,app,female,1455838960694,1453787945829,1456487496561
305,T9297,61,broken,,,pending,hardware,male,,1455845653862,1458525330809
306,X4243,27,broken,,,pending,hardware,female,,1452611917441,1453756491686
307,H715,70,no soap,,,resolved,hardware,male,1458205097756,1458190507571,1455461405614
308,Y5907,21,dirty,,,pending,app,female,,1453642681005,1458469361148
309,V4138,76,no water,,,pending,hardware,female,,1454171011909,1459205577327
310,O215,12,dirty,,,pending,app,female,,1456658977759,1453492851446
311,G587,45,no water,,,resolved,hardware,male,1454877637073,1454822107668,1456995145174
312,Y1758,37,dirty,,,pending,hardware,female,,1457374807408,1458818169413
313,A4746,37,no soap,,,pending,app,male,,1458044599837,1457308448424
314,K9061,16,dirty,,,pending,app,female,,1457019569480,1460196654795
315,Z850,50,no soap,,,resolved,hardware,male,1459356023400,1456315939767,1455182970615
316,J633,13,broken,,,resolved,hardware,female,1459535304163,1458819120699,1453075707527
317,C3506,80,broken,,,pending,app,male,,1453676704727,1455947782585
318,Y2579,31,no water,,,resolved,app,male,1456126527724,1455598566559,1452887612711
319,E9581,92,broken,,,resolved,app,female,1458515518498,1457890263869,1458189321563
320,Y2007,19,no soap,,,resolved,app,male,1459265410819,1459091249279,1452882533360
321,L2597,92,dirty,,,pending,app,female,,1459509088447,1453078292098
322,Q2987,54,no soap,,,resolved,app,male,1460401179580,1459559558912,1453392687157
323,C42,99,dirty,,,pending,hardware,female,,1457456934304,1453593785191
324,T8316,8,dirty,,,resolved,app,male,1460180550587,1454202169545,1452707293599
325,F1335,55,no water,,,resolved,hardware,male,1459265894540,1456035070012,1455332880798
326,W5728,84,no soap,,,resolved,app,male,1458264342108,1457375571351,1456303972328
327,C8068,5,dirty,,,pending,hardware,female,,1453668713594,1456804630309
328,F6966,46,no water,,,pending,app,female,,1458891072829,1457732371424
329,M2069,67,broken,,,resolved,hardware,male,1460349282764,1453271619252,1458547387660
330,Y9633,41,broken,,,resolved,app,male,1454374395949,1453030882495,1460014068178
331,F3375,73,no water,,,resolved,hardware,male,1456913357309,1455751025944,1453338262806
332,C5303,49,no soap,,,resolved,app,female,1455345376894,1453922822739,1459502611365
333,Z934,6,broken,,,pending,app,male,,1457090504888,1458591929631
334,Y3405,14,no water,,,pending,hardware,male,,1452744404318,1459192340295
335,P7749,14,no soap,,,resolved,hardware,female,1458228137829,1454766129854,1456104147510
336,X3622,78,dirty,,,pending,hardware,female,,1460290023381,1457510445639
337,G1378,22,no water,,,pending,app,female,,1453540363127,1458518944419
338,F2729,38,no water,,,resolved,app,female,1459074690562,1458892704896,1453578751409
339,L6241,3,dirty,,,pending,app,male,,1459606255676,1459417551183
340,O6759,62,dirty,,,resolved,hardware,male,1458295111596,1453440436759,1456024749438
341,R4449,48,broken,,,resolved,hardware,female,1455702621627,1455161121377,1458604060240
342,S1870,66,dirty,,,resolved,app,male,1459699481259,1456490067250,1455671754037
343,K2907,73,dirty,,,pending,hardware,male,,1453137259696,1454100645762
344,R3368,70,dirty,,,pending,hardware,male,,1458502179704,1459741407133
345,E5638,86,broken,,,pending,app,female,,1458793252378,1458174900595
346,G6407,71,broken,,,pending,hardware,female,,1459059826848,1456400023943
347,A2933,52,broken,,,resolved,hardware,male,1457525585490,1455201890205,1456409519122
348,S8974,75,no soap,,,resolved,hardware,male,1460267478082,1454133551641,1456571199506
349,A4844,55,broken,,,resolved,hardware,female,1460187222799,1459554640033,1460218603481
350,T3082,42,no soap,,,pending,hardware,female,,1453446500465,1457396822281
351,W9461,94,no water,,,pending,hardware,male,,1454771656748,1456993607538
352,G192,24,no soap,,,pending,hardware,male,,1459524273628,1459123398685
353,D3105,11,dirty,,,resolved,app,female,1460291597841,1458778057408,1455562026751
354,B9588,61,no soap,,,pending,hardware,female,,1455679283042,1452852028970
355,M6163,72,broken,,,pending,hardware,male,,1454979238849,1459613658513
356,S7906,6,no water,,,resolved,hardware,male,1454849099329,1452784626335,1456276307919
357,U2386,95,dirty,,,resolved,app,male,1460511467155,1460312985270,1453766518392
358,Q4746,48,dirty,,,resolved,hardware,female,1454766719017,1453382005792,1454359260925
359,W2357,18,no soap,,,pending,hardware,male,,1455191701442,1453895872357
360,C9573,47,no soap,,,pending,hardware,male,,1455788550841,1458429392710
361,M9575,82,no soap,,,resolved,app,female,1459614155536,1457838529570,1454644968862
362,U622,55,no soap,,,resolved,hardware,male,1458198348223,1457966867050,1457596151575
363,D5544,94,dirty,,,resolved,hardware,female,1457474742662,1457125946018,1456767154101
364,Y125,7,dirty,,,resolved,app,male,1460326424621,1459635670452,1458396100646
365,L1599,4,broken,,,resolved,app,female,1456349989438,1456053987635,1453915984508
366,C3390,3,no water,,,pending,hardware,male,,1453142238823,1455227869101
367,N2192,69,dirty,,,resolved,app,female,1458532624276,1454459236403,1457417637675
368,Y4867,59,no water,,,pending,app,female,,1457855772492,1458322942809
369,E1742,89,no soap,,,resolved,app,female,1459855410624,1454645349645,1456747914746
370,Y7092,18,dirty,,,pending,app,female,,1455080789571,1459949277678
